,word,num_words,ranking,ranking_log,num_words_log
176,pode,38,176,5.17048399504,3.63758615973
177,aí,38,177,5.17614973257,3.63758615973
178,nunca,37,178,5.18178355029,3.61091791264
179,te,37,179,5.18738580584,3.61091791264
180,nós,37,180,5.19295685089,3.61091791264
181,Cotrim,37,181,5.19849703127,3.61091791264
182,Sabina,36,182,5.20400668708,3.58351893846
183,Meu,36,183,5.20948615284,3.58351893846
184,ar,36,184,5.21493575761,3.58351893846
185,simples,36,185,5.22035582508,3.58351893846
186,De,35,186,5.22574667371,3.55534806149
187,nenhuma,35,187,5.23110861685,3.55534806149
188,leitor,35,188,5.23644196283,3.55534806149
189,sala,35,189,5.24174701506,3.55534806149
190,antes,35,190,5.24702407216,3.55534806149
191,carta,34,191,5.25227342805,3.52636052462
192,uns,34,192,5.25749537203,3.52636052462
193,espírito,34,193,5.2626901889,3.52636052462
194,cabeça,34,194,5.26785815906,3.52636052462
195,Ao,34,195,5.27299955856,3.52636052462
196,Talvez,33,196,5.27811465923,3.49650756147
197,toda,33,197,5.28320372874,3.49650756147
198,dele,33,198,5.28826703069,3.49650756147
199,algumas,33,199,5.29330482472,3.49650756147
200,porém,33,200,5.29831736655,3.49650756147
201,nosso,32,201,5.30330490806,3.4657359028
202,são,32,202,5.3082676974,3.4657359028
203,mal,32,203,5.31320597904,3.4657359028
204,Brás,31,204,5.31811999384,3.43398720449
205,É,31,205,5.32300997914,3.43398720449
206,gesto,31,206,5.32787616879,3.43398720449
207,homens,31,207,5.33271879327,3.43398720449
208,certa,31,208,5.3375380797,3.43398720449
209,onde,31,209,5.34233425196,3.43398720449
210,cinco,31,210,5.34710753072,3.43398720449
211,digo,31,211,5.35185813348,3.43398720449
212,mundo,31,212,5.35658627467,3.43398720449
213,tarde,31,213,5.36129216571,3.43398720449
214,meio,31,214,5.36597601502,3.43398720449
215,flor,30,215,5.37063802813,3.40119738166
216,primeiro,30,216,5.37527840768,3.40119738166
217,janela,30,217,5.37989735354,3.40119738166
218,sim,30,218,5.38449506279,3.40119738166
219,caso,30,219,5.38907172982,3.40119738166
220,Já,30,220,5.39362754635,3.40119738166
221,Se,30,221,5.39816270152,3.40119738166
222,boa,30,222,5.40267738187,3.40119738166
223,sobre,30,223,5.40717177146,3.40119738166
224,fazer,30,224,5.41164605186,3.40119738166
225,efeito,29,225,5.4161004022,3.36729582999
226,tem,29,226,5.42053499927,3.36729582999
227,consciência,29,227,5.42495001748,3.36729582999
228,dentro,29,228,5.42934562895,3.36729582999
229,você,29,229,5.43372200355,3.36729582999
230,sempre,29,230,5.43807930892,3.36729582999
231,longe,29,231,5.44241771052,3.36729582999
232,política,29,232,5.44673737167,3.36729582999
233,força,29,233,5.45103845357,3.36729582999
234,seguinte,29,234,5.45532111536,3.36729582999
235,contos,29,235,5.45958551414,3.36729582999
236,muitas,29,236,5.46383180503,3.36729582999
237,maior,28,237,5.46806014114,3.33220451018
238,disseme,28,238,5.47227067367,3.33220451018
239,Uma,28,239,5.47646355193,3.33220451018
240,dor,28,240,5.48063892334,3.33220451018
241,ali,28,241,5.48479693349,3.33220451018
242,está,28,242,5.48893772616,3.33220451018
243,rosto,28,243,5.49306144334,3.33220451018
244,família,28,244,5.49716822529,3.33220451018
245,todo,28,245,5.50125821054,3.33220451018
246,num,27,246,5.50533153593,3.295836866
247,nenhum,27,247,5.50938833663,3.295836866
248,Pois,27,248,5.51342874616,3.295836866
249,dela,27,249,5.51745289646,3.295836866
250,ninguém,27,250,5.52146091786,3.295836866
251,ocasião,27,251,5.52545293913,3.295836866
252,dar,27,252,5.52942908751,3.295836866
253,senhor,27,253,5.53338948873,3.295836866
254,estar,27,254,5.53733426702,3.295836866
255,palavras,26,255,5.54126354516,3.25809653802
256,voz,26,256,5.54517744448,3.25809653802
257,ponto,26,257,5.5490760849,3.25809653802
258,lado,26,258,5.55295958492,3.25809653802
259,impossível,26,259,5.5568280617,3.25809653802
260,horas,26,260,5.56068163102,3.25809653802
261,razão,26,261,5.56452040732,3.25809653802
262,seria,25,262,5.56834450376,3.21887582487
263,vi,25,263,5.57215403218,3.21887582487
264,jantar,25,264,5.57594910315,3.21887582487
265,daí,25,265,5.57972982599,3.21887582487
266,muita,25,266,5.58349630878,3.21887582487
267,numa,25,267,5.5872486584,3.21887582487
268,durante,25,268,5.59098698051,3.21887582487
269,Humanitas,25,269,5.5947113796,3.21887582487
270,saber,24,270,5.598421959,3.17805383035
271,nome,24,271,5.60211882088,3.17805383035
272,preciso,24,272,5.6058020663,3.17805383035
273,papel,24,273,5.60947179518,3.17805383035
274,devia,24,274,5.61312810639,3.17805383035
275,hora,24,275,5.61677109767,3.17805383035
276,fazia,24,276,5.62040086572,3.17805383035
277,filho,24,277,5.62401750619,3.17805383035
278,senão,23,278,5.62762111369,3.13549421593
279,gente,23,279,5.63121178182,3.13549421593
280,quatro,23,280,5.63478960317,3.13549421593
281,chácara,23,281,5.63835466933,3.13549421593
282,senhora,23,282,5.64190707094,3.13549421593
283,braços,23,283,5.64544689764,3.13549421593
284,umas,23,284,5.64897423816,3.13549421593
285,Como,23,285,5.65248918027,3.13549421593
286,corpo,23,286,5.65599181082,3.13549421593
287,próprio,23,287,5.65948221576,3.13549421593
288,lágrimas,23,288,5.66296048014,3.13549421593
289,entrou,23,289,5.66642668811,3.13549421593
290,Deus,23,290,5.66988092298,3.13549421593
291,falar,23,291,5.67332326717,3.13549421593
292,medo,23,292,5.67675380227,3.13549421593
293,expressão,22,293,5.68017260902,3.09104245336
294,exemplo,22,294,5.68357976734,3.09104245336
295,boca,22,295,5.68697535634,3.09104245336
296,parecia,22,296,5.69035945432,3.09104245336
297,Com,22,297,5.6937321388,3.09104245336
298,instante,22,298,5.69709348651,3.09104245336
299,nariz,22,299,5.70044357339,3.09104245336
300,Os,22,300,5.70378247466,3.09104245336
301,Foi,22,301,5.70711026475,3.09104245336
302,deu,22,302,5.71042701737,3.09104245336
303,tanto,22,303,5.71373280551,3.09104245336
304,DE,22,304,5.71702770141,3.09104245336
305,minutos,22,305,5.72031177661,3.09104245336
306,diante,22,306,5.72358510195,3.09104245336
307,Então,21,307,5.72684774759,3.04452243772
308,passado,21,308,5.73009978297,3.04452243772
309,achei,21,309,5.7333412769,3.04452243772
310,veio,21,310,5.73657229748,3.04452243772
311,Eusébia,21,311,5.73979291218,3.04452243772
312,bom,21,312,5.74300318781,3.04452243772
313,opinião,21,313,5.74620319054,3.04452243772
314,beijo,21,314,5.74939298591,3.04452243772
315,deveras,21,315,5.75257263883,3.04452243772
316,grandes,21,316,5.75574221359,3.04452243772
317,tio,21,317,5.75890177388,3.04452243772
318,sair,21,318,5.76205138278,3.04452243772
319,aliás,21,319,5.76519110278,3.04452243772
320,cá,21,320,5.76832099579,3.04452243772
321,velho,21,321,5.77144112313,3.04452243772
322,Humanitismo,20,322,5.77455154554,2.99573227355
323,coração,20,323,5.77765232322,2.99573227355
324,minhas,20,324,5.78074351579,2.99573227355
325,Creio,20,325,5.78382518233,2.99573227355
326,ponta,20,326,5.78689738137,2.99573227355
327,creio,20,327,5.7899601709,2.99573227355
328,tinham,20,328,5.79301360838,2.99573227355
329,filosofia,20,329,5.79605775077,2.99573227355
330,pessoas,20,330,5.79909265446,2.99573227355
331,queria,20,331,5.80211837538,2.99573227355
332,Agora,20,332,5.80513496892,2.99573227355
333,sentimento,20,333,5.80814248998,2.99573227355
334,apenas,20,334,5.81114099298,2.99573227355
335,cada,20,335,5.81413053183,2.99573227355
336,Para,20,336,5.81711115996,2.99573227355
337,suas,20,337,5.82008293035,2.99573227355
338,Você,20,338,5.82304589548,2.99573227355
339,Por,20,339,5.82600010738,2.99573227355
340,parece,20,340,5.82894561761,2.99573227355
341,quer,20,341,5.83188247728,2.99573227355
342,sol,19,342,5.83481073706,2.94443897917
343,sensação,19,343,5.83773044717,2.94443897917
344,sujeito,19,344,5.84064165737,2.94443897917
345,vinha,19,345,5.84354441703,2.94443897917
346,amores,19,346,5.84643877506,2.94443897917
347,pude,19,347,5.84932477995,2.94443897917
348,Tinha,19,348,5.85220247977,2.94443897917
349,fez,19,349,5.8550719222,2.94443897917
350,dizendo,19,350,5.85793315448,2.94443897917
351,diabo,19,351,5.86078622347,2.94443897917
352,instantes,19,352,5.8636311756,2.94443897917
353,manhã,19,353,5.86646805693,2.94443897917
354,princípio,19,354,5.86929691313,2.94443897917
355,Ele,19,355,5.87211778948,2.94443897917
356,vontade,19,356,5.87493073085,2.94443897917
357,alma,19,357,5.87773578178,2.94443897917
358,daquele,19,358,5.8805329864,2.94443897917
359,sentia,19,359,5.88332238849,2.94443897917
360,Sim,19,360,5.88610403145,2.94443897917
361,semanas,18,361,5.88887795833,2.8903717579
362,desejo,18,362,5.89164421183,2.8903717579
363,nesse,18,363,5.89440283426,2.8903717579
364,graça,18,364,5.89715386764,2.8903717579
365,necessidade,18,365,5.89989735358,2.8903717579
366,pessoa,18,366,5.9026333334,2.8903717579
367,Damasceno,18,367,5.90536184805,2.8903717579
368,trazia,18,368,5.90808293817,2.8903717579
369,*,18,369,5.91079664404,2.8903717579
370,fiquei,18,370,5.91350300564,2.8903717579
371,passo,18,371,5.91620206261,2.8903717579
372,felicidade,18,372,5.91889385427,2.8903717579
373,faz,18,373,5.92157841964,2.8903717579
374,qual,18,374,5.92425579741,2.8903717579
375,somente,18,375,5.92692602597,2.8903717579
376,quero,18,376,5.92958914339,2.8903717579
377,meses,18,377,5.93224518745,2.8903717579
378,rua,18,378,5.93489419562,2.8903717579
379,dava,17,379,5.93753620508,2.83321334406
380,sangue,17,380,5.94017125272,2.83321334406
381,hoje,17,381,5.94279937513,2.83321334406
382,dinheiro,17,382,5.94542060861,2.83321334406
383,Ora,17,383,5.94803498918,2.83321334406
384,diferença,17,384,5.95064255259,2.83321334406
385,dama,17,385,5.95324333429,2.83321334406
386,relógio,17,386,5.95583736946,2.83321334406
387,meia,17,387,5.95842469303,2.83321334406
388,natural,17,388,5.96100533962,2.83321334406
389,aquela,17,389,5.96357934362,2.83321334406
390,tive,17,390,5.96614673912,2.83321334406
391,ficou,17,391,5.96870755999,2.83321334406
392,versos,17,392,5.97126183979,2.83321334406
393,Quanto,17,393,5.97380961187,2.83321334406
394,Nhãloló,17,394,5.9763509093,2.83321334406
395,último,17,395,5.9788857649,2.83321334406
396,São,17,396,5.98141421125,2.83321334406
397,resto,16,397,5.98393628069,2.77258872224
398,dez,16,398,5.98645200528,2.77258872224
399,Ela,16,399,5.98896141689,2.77258872224
400,deles,16,400,5.99146454711,2.77258872224
401,humana,16,401,5.99396142731,2.77258872224
402,ficar,16,402,5.99645208862,2.77258872224
403,resposta,16,403,5.99893656195,2.77258872224
404,cadeira,16,404,6.00141487796,2.77258872224
405,cérebro,16,405,6.00388706711,2.77258872224
406,vou,16,406,6.0063531596,2.77258872224
407,via,16,407,6.00881318544,2.77258872224
408,direi,16,408,6.0112671744,2.77258872224
409,muitos,16,409,6.01371515604,2.77258872224
410,segundo,16,410,6.0161571597,2.77258872224
411,acabar,16,411,6.0185932145,2.77258872224
412,natureza,16,412,6.02102334935,2.77258872224
413,Quem,16,413,6.02344759296,2.77258872224
414,viu,16,414,6.02586597383,2.77258872224
415,gosto,16,415,6.02827852023,2.77258872224
416,morrer,16,416,6.03068526026,2.77258872224
417,morreu,16,417,6.0330862218,2.77258872224
418,ora,16,418,6.03548143252,2.77258872224
419,página,16,419,6.03787091992,2.77258872224
420,estas,16,420,6.04025471128,2.77258872224
421,vale,15,421,6.04263283368,2.7080502011
422,figura,15,422,6.04500531404,2.7080502011
423,Assim,15,423,6.04737217905,2.7080502011
424,chegou,15,424,6.04973345523,2.7080502011
425,aqui,15,425,6.05208916892,2.7080502011
426,causa,15,426,6.05443934627,2.7080502011
427,Quando,15,427,6.05678401323,2.7080502011
428,As,15,428,6.05912319558,2.7080502011
429,alegria,15,429,6.06145691893,2.7080502011
430,teve,15,430,6.06378520869,2.7080502011
431,dado,15,431,6.0661080901,2.7080502011
432,posso,15,432,6.06842558824,2.7080502011
433,cair,15,433,6.070737728,2.7080502011
434,imaginação,15,434,6.0730445341,2.7080502011
435,chapéu,15,435,6.07534603109,2.7080502011
436,história,15,436,6.07764224335,2.7080502011
437,motivo,15,437,6.0799331951,2.7080502011
438,deste,15,438,6.08221891038,2.7080502011
439,tua,15,439,6.08449941308,2.7080502011
440,saudades,15,440,6.08677472691,2.7080502011
441,Ah,15,441,6.08904487545,2.7080502011
442,azul,15,442,6.09130988208,2.7080502011
443,chão,15,443,6.09356977005,2.7080502011
444,tornou,15,444,6.09582456243,2.7080502011
445,idéias,15,445,6.09807428217,2.7080502011
446,Esta,15,446,6.10031895202,2.7080502011
447,quê,15,447,6.10255859461,2.7080502011
448,ficava,15,448,6.10479323241,2.7080502011
449,disselhe,15,449,6.10702288774,2.7080502011
450,moça,15,450,6.10924758276,2.7080502011
451,velha,14,451,6.1114673395,2.63905732962
452,espetáculo,14,452,6.11368217983,2.63905732962
453,sendo,14,453,6.11589212548,2.63905732962
454,perguntou,14,454,6.11809719804,2.63905732962
455,pior,14,455,6.12029741895,2.63905732962
456,paixão,14,456,6.12249280951,2.63905732962
457,enquanto,14,457,6.12468339089,2.63905732962
458,bonita,14,458,6.12686918411,2.63905732962
459,ministro,14,459,6.12905021006,2.63905732962
460,moral,14,460,6.13122648948,2.63905732962
461,Eugênia,14,461,6.133398043,2.63905732962
462,futuro,14,462,6.13556489108,2.63905732962
463,perguntoume,14,463,6.13772705409,2.63905732962
